id,siteID,year,icemoved,timemoved,breakup,Impact Based Flood Severity,firstboat,unsafeman,unsafeveh,typeveh,lastice,remarks,Initial Forecast Start Date,Initial Forecast End Date,qualityFlag,internalNotes
6439,Yukon River at Koyukuk,2010,,,2010-05-09,,,,,,,,2010-05-09,2010-05-15,,
6440,Yukon River at Kaltag,2010,,,2010-05-12,,,,,,,,2010-05-10,2010-05-18,,
6441,Yukon River at Anvik,2010,,,2010-05-13,,,,,,,,2010-05-13,2010-05-19,,
6442,Yukon River at Marshall,2010,,,2010-05-17,,,,,,,,2010-05-12,2010-05-18,,
6443,Yukon River at Grayling,2010,,,2010-05-14,,,,,,,,,,,
6444,Yukon River at Holy Cross,2010,,,2010-05-15,,,,,,,,2010-05-12,2010-05-18,,
6445,Yukon River at Russian Mission,2010,,,2010-05-15,,,,,,,,2010-05-12,2010-05-18,,
6447,Yukon River at Ruby,2010,2010-05-08,17:00pm,2010-05-08,,2010-05-12,2010-05-08,2010-05-08,snowmachine,2010-05-16,,2010-05-09,2010-05-15,,
6448,Fortymile River at Taylor Hwy Bridge,2010,,,,,2010-05-06,2010-04-24,2010-04-24,Any,,,,,,
6449,Yukon River at Galena,2010,2010-05-09,02:25am,2010-05-11,,2010-05-15,2010-05-05,2010-05-03,snowmachine,2010-05-16,,2010-05-09,2010-05-15,,
6450,Koyukuk River at Huslia,2010,2010-05-05,,2010-05-05,,2010-05-04,2010-05-04,,,2010-05-05,,,,,
6451,Yukon River at Circle,2010,,,2010-05-06,,,,,,,,2010-05-06,2010-05-12,,
6453,Yukon River at Nulato,2010,,,2010-05-10,,,,,,,,2010-05-09,2010-05-15,,
6454,Yukon River at Pilot Station,2010,,,2010-05-19,,,,,,,,2010-05-14,2010-05-21,,
6455,Yukon River at Mountain Village,2010,,,2010-05-20,,,,,,,,2010-05-15,2010-05-22,,
6456,Yukon River at Alakanuk,2010,,,2010-05-24,,,,,,,,2010-05-19,2010-05-26,,
7113,Amber Lake at Oilwell Road,2010,,,2010-05-14,unknown,,,,,2010-05-14,,2022-03-24,2022-03-24,,
1036,Buckland River at Buckland,2009,,,2009-05-13,,,,,,,,2009-05-14,2009-05-23,,
1037,Kobuk River at Kobuk,2009,,,2009-05-13,,,,,,,,2009-05-13,2009-05-20,,
1038,Kobuk River at Shungnak,2009,,,2009-05-13,,,,,,,,2009-05-15,2009-05-22,,
1039,Kobuk River at Ambler,2009,,,2009-05-16,,,,,,,,2009-05-15,2009-05-22,,
1040,Noatak River at Noatak,2009,,,2009-05-18,,,,,,,,2009-05-16,2009-05-24,,
1041,Colville River at Umiat,2009,,,2009-05-18,,,,,,,,2009-05-21,2009-05-29,,
1042,Colville River at Colville Village,2009,,,2009-05-27,,,,,,,,2009-05-27,2009-06-05,,
1426,Little Nelchina River at Nelchina,2009,2009-04-29,,2009-05-01,,,,,,2009-05-01,,,,,
1427,Eyak Lake nr Cordova,2009,2009-05-02,05:00pm,2009-05-02,,2009-05-02,2009-04-20,,,,,,,,
1428,Tonsina River at Tonsina,2009,2009-04-25,,2009-04-27,,,2009-04-04,2009-04-12,snowmachine,2009-05-10,,,,,
1429,Kennicott River at McCarthy,2009,2009-04-28,,2009-04-28,,2009-05-05,2009-04-22,2009-04-10,pickup truck\, small SUV,2009-05-06,,,,,
1430,Gakona River at Gakona,2009,,,2009-04-30,,,,,,,,2009-04-25,2009-05-05,,
1431,Gulkana River nr Gakona,2009,,,2009-04-30,,,,,,,,2009-04-25,2009-05-03,,
2242,Ninilchik River at Ninilchik,2009,2009-04-12,,2009-04-12,,,2009-04-05,2009-03-25,snowmachine,,,,,,
2243,Skwentna River at Skwentna,2009,,,2009-04-30,,,,,snowmachine,,,2009-04-27,2009-05-03,,
2244,Little Susitna River nr Palmer,2009,2009-04-10,,2009-04-15,,2009-05-01,2009-04-10,2009-04-10,snowmachine,2009-05-01,Fast breakup.  Ice\, shore gone quick.,,,,
2245,Susitna River at Sunshine,2009,,,2009-05-04,,,,,,,,2009-04-30,2009-05-06,,
2246,Yentna River at Lake Creek,2009,,,2009-04-30,,,,,,,,2009-04-27,2009-05-03,,
2247,Kroto Creek at Oilwell Road,2009,2009-05-01,,2009-05-01,,,,,,,,,,,
2248,Moose Creek at Oilwell Road,2009,2009-04-19,,2009-04-25,,2009-04-28,,,,2009-04-28,,,,,
3607,Kuskokwim River at Nikolai,2009,,,2009-04-25,,,,,,,,2009-04-20,2009-04-27,,
3608,Kuskokwim River at McGrath,2009,,,2009-05-04,,,,,,,,2009-05-04,2009-05-11,,
3609,Kuskokwim River at Stony River,2009,,,2009-05-02,,,,,,,,2009-05-02,2009-05-09,,
3610,Kuskokwim River at Sleetmute,2009,,,2009-05-02,,,,,,,,2009-05-01,2009-05-08,,
3611,Kuskokwim River at Red Devil,2009,,,2009-05-03,,,,,,,,2009-05-02,2009-05-09,,
3612,Kuskokwim River at Crooked Creek,2009,,,2009-05-03,,,,,,,,2009-05-03,2009-05-10,,
3613,Kuskokwim River at Aniak,2009,,,2009-05-03,,,,,,,,2009-05-03,2009-05-11,,
3614,Kuskokwim River at Kalskag,2009,2009-05-05,,2009-05-07,,2009-05-09,,,,2009-05-11,,2009-05-04,2009-05-11,,
3615,Kuskokwim River at Tuluksak,2009,,,2009-05-06,,,,,,,,2009-05-06,2009-05-13,,
3616,Kuskokwim River at Akiak,2009,,,2009-05-08,,,,,,,,2009-05-06,2009-05-14,,
3617,Kuskokwim River at Bethel,2009,2009-05-09,,2009-05-09,,2009-05-09,2009-05-05,2009-04-25,snowmachine,2009-05-13,,2009-05-09,2009-05-16,,
3618,Kuskokwim River at Napakiak,2009,,,2009-05-11,,,,,,,,2009-05-09,2009-05-16,,
3619,Kuskokwim River at Akiachak,2009,,,2009-05-10,,,,,,,,,,,
3620,Kuskokwim River at Chuathbaluk,2009,,,2009-05-03,,,,,,,,,,,
4370,Chisana River at Northway,2009,,,2009-04-27,,,,,,,,,,,
4406,Tanana River nr Manley Hot Springs,2009,2009-05-02,,2009-05-03,,2009-05-08,2009-04-20,2009-04-10,snowmachine,2009-05-06,,2009-04-26,2009-05-09,,
4407,Chatanika River at Steese Highway,2009,2009-04-29,,2009-04-29,,2009-06-01,2009-03-05,2009-03-05,any,2009-05-21,,,,,
4408,Chatanika River at Elliott Hwy Bridge,2009,2009-04-27,,2009-04-29,,2009-05-02,2009-04-22,2009-04-20,snowmachine,2009-05-02,,,,,
4409,Chena River at Fairbanks,2009,,,2009-04-30,,,,,,,,2009-04-21,2009-04-29,,
4410,Tanana River at Fairbanks D-S of Chena R,2009,,,2009-05-02,,,,,,,,2009-04-27,2009-05-03,,
4411,Tanana River at Nenana,2009,,,2009-05-01,,,,,,,,2009-04-29,2009-05-05,,
4412,Crooked Creek at Central,2009,,,2009-04-28,,,,,,,Very rapid breakup.,,,,
6403,Yukon River at Eagle,2009,2009-05-03,,2009-05-03,,,2009-05-01,2009-04-30,snowmachine,,Record high breakup\, major damage to all riverfron,2009-05-02,2009-05-08,,
6404,Fortymile River at Taylor Hwy Bridge,2009,2009-04-27,,2009-04-30,,2009-05-13,2009-04-20,2009-04-17,snowmachine,2009-05-07,High than normal snow levels.,,,,
6405,Yukon River at Ruby,2009,2009-05-06,09:00pm,2009-05-06,,2009-05-17,2009-04-30,2009-04-30,snowmachine,2009-05-18,,2009-05-09,2009-05-15,,
6407,Koyukuk River at Wiseman,2009,2009-04-28,,2009-05-01,,2009-05-15,2009-04-27,2009-04-26,any,2009-05-15,,,,,
6408,Wiseman Creek at Wiseman,2009,2009-04-28,,2009-05-01,,2009-05-20,2009-04-27,2009-04-28,any,2009-05-16,05-20 high water from snow melt.,,,,
6409,Yukon River at Nulato,2009,2009-05-08,03:15pm,2009-05-08,,2009-05-16,2009-04-27,2009-04-27,snowmachine,2009-05-18,,2009-05-10,2009-05-16,,
6410,Yukon River at Beaver,2009,2009-05-07,,2009-05-08,,2009-05-15,2009-05-05,2009-05-04,snowmachine,2009-05-16,,2009-05-08,2009-05-14,,
6411,Koyukuk River at Bettles,2009,2009-05-01,,2009-05-03,,2009-05-17,2009-04-27,2009-04-25,snowmachine,2009-05-16,,2009-05-06,2009-05-14,,
6412,Yukon River at Fort Yukon,2009,2009-05-04,,2009-05-06,,2009-05-09,2009-04-28,2009-04-28,snowmachine,2009-05-14,,2009-05-07,2009-05-13,,
6413,Yukon River at Dawson,2009,,,2009-05-04,,,,,,,,2009-05-03,2009-05-09,,
6414,Yukon River at Circle,2009,,,2009-05-06,,,,,,,,2009-05-06,2009-05-12,,
6415,Yukon River at Stevens Village,2009,,,2009-05-09,,,,,,,,2009-05-09,2009-05-15,,
6416,Yukon River at Rampart,2009,,,2009-05-10,,,,,,,,2009-05-10,2009-05-16,,
6417,Yukon River at Tanana,2009,,,2009-05-10,,,,,,,,2009-05-07,2009-01-05,,
6418,Yukon River at Galena,2009,,,2009-05-11,,,,,,,,2009-05-09,2009-05-15,,
6419,Yukon River at Kaltag,2009,,,2009-05-12,,,,,,,,2009-05-11,2009-05-17,,
6420,Yukon River at Anvik,2009,,,2009-05-13,,,,,,,,2009-05-14,2009-05-21,,
6421,Yukon River at Holy Cross,2009,,,2009-05-13,,,,,,,,2009-05-13,2009-05-19,,
6422,Yukon River at Russian Mission,2009,,,2009-05-17,,,,,,,,2009-05-12,2009-05-19,,
6423,Yukon River at Pilot Station,2009,,,2009-05-17,,,,,,,,2009-05-13,2009-05-21,,
6424,Yukon River at Mountain Village,2009,,,2009-05-22,,,,,,,,2009-05-14,2009-05-22,,
6425,Yukon River at Alakanuk,2009,,,2009-05-23,,,,,,,,2009-05-19,2009-05-26,,
6426,Yukon River nr Emmonak,2009,,,2009-05-23,,,,,,,,,,,
6427,Koyukuk River at Allakaket,2009,,,2009-05-03,,,,,,,,2009-05-07,2009-05-14,,
6428,Koyukuk River at Hughes,2009,,,2009-05-04,,,,,,,,2009-05-07,2009-05-14,,
6446,Yukon River at Marshall,2009,,,2009-05-20,,,,,,,,,,,
7112,Amber Lake at Oilwell Road,2009,,,2009-05-15,unknown,,,,,2009-05-15,,2022-03-24,2022-03-24,,
990,Kobuk River at Ambler,2008,2008-05-11,5:00pm,2008-05-11,,2008-05-15,2008-05-09,2008-05-09,Snowmachine and 4-wheeler,2008-05-17,Unusual breakup\, very early,2008-05-16,2008-05-23,,
1027,Colville River at Umiat,2008,,,2008-05-25,,,,,,,,2008-05-21,2008-05-29,,
1030,Noatak River at Noatak,2008,,,2008-05-14,,,,,,,,2008-05-16,2008-05-24,,
1031,Buckland River at Buckland,2008,,,2008-05-13,,,,,,,,2008-05-15,2008-05-23,,
1032,Kobuk River at Kobuk,2008,,,2008-05-12,,,,,,,,2008-05-14,2008-05-21,,
1033,Kobuk River at Shungnak,2008,,,2008-05-13,,,,,,,,2008-05-16,2008-05-23,,
1035,Colville River at Colville Village,2008,2008-06-04,,2008-06-05,,2008-06-05,,2008-05-26,Any,2008-06-06,Flood waters stopped travel of any kind on river w,2008-05-27,2008-06-05,,
1417,Little Nelchina River at Nelchina,2008,2008-05-03,,2008-05-09,,,,,N/A,2008-05-12,,,,,
1420,Chistochina River at Chistochina,2008,2008-04-25,,2008-04-25,,2008-05-26,2008-04-15,2008-04-15,,2008-05-26,,,,,
1421,Tonsina River at Tonsina,2008,2008-04-14,,2008-04-17,,2008-05-20,2008-04-06,2008-04-14,Snow machine,2008-05-20,,,,,
1422,Kennicott River at McCarthy,2008,2008-04-30,,2008-04-30,,2008-05-07,2008-04-28,2008-04-21,Snow machine and 4 wheele,2008-05-11,,,,,
1423,Gulkana River at Sourdough,2008,2008-05-05,9:30am,2008-05-05,,,,,,2008-05-18,Maximum ice thickness was 3',,,,
1424,Gulkana River nr Gakona,2008,2008-05-06,,2008-05-06,,2008-05-25,2008-04-14,2008-04-22,Snowmachine,2008-05-06,,2008-04-25,2008-05-05,,
1425,Gakona River at Gakona,2008,2008-05-05,,2008-05-06,,2008-05-18,2008-04-15,2008-04-25,Snowmachine,2008-05-11,Ice jam from lodge to Copper River. Ice about 3' f,,,,
2233,Skwentna River at Skwentna,2008,2008-05-02,,2008-05-03,,2008-05-04,2008-04-29,2008-04-28,snowmachine,,Very thin ice again this year.,2008-04-27,2008-05-03,,
2234,Susitna River at Sunshine,2008,2008-05-06,,2008-05-08,,2008-05-10,2008-04-24,2008-05-02,snowmachine,2008-05-12,,2008-04-30,2008-05-06,,
2235,Montana Creek at Parks Highway,2008,2008-03-29,,2008-03-29,,2008-03-29,2008-03-14,2008-03-12,snowmachine,2008-04-08,,,,,
2237,Kroto Creek at Oilwell Road,2008,2008-04-30,,2008-04-30,,,,,,2008-05-10,,,,,
2238,Moose Creek at Oilwell Road,2008,2008-04-17,,2008-04-17,,,,,,2008-04-23,,,,,
2239,Chelatna Lake nr Lake Creek,2008,2008-05-28,,2008-06-03,,2008-06-05,2008-05-16,2008-05-08,Snowmachine,2008-06-05,Freeze was not deep this year. Ice had 7" of good ,,,,
2240,Little Susitna River nr Palmer,2008,2008-04-25,,2008-04-25,,2008-05-25,2008-04-25,2008-04-21,Snowmachine,2008-05-25,Slow breakup,,,,
2241,Yentna River at Lake Creek,2008,2008-05-05,,2008-05-05,,2008-05-06,,2008-04-30,Snowmachine,,Ran heavy ice for 15 min. Then just light ice.,2008-04-27,2008-05-03,,
3594,Kuskokwim River at McGrath,2008,2008-05-08,,2008-05-10,,2008-05-12,2008-05-07,2008-05-06,snowmachine,2008-05-13,River went out between 7 - 9 pm on 5/10.,2008-05-04,2008-05-11,,
3595,Kuskokwim River at Crooked Creek,2008,2008-05-08,,2008-05-09,,2008-05-14,2008-05-01,2008-05-01,snowmachine\, four wheeler,2008-05-12,,2008-05-03,2008-05-10,,
3596,Kuskokwim River at Nikolai,2008,,,2008-04-26,,,,,,,,2008-04-20,2008-04-26,,
3597,Kuskokwim River at Stony River,2008,,,2008-05-06,,,,,,,,2008-05-02,2008-05-10,,
3598,Kuskokwim River at Sleetmute,2008,,,2008-05-09,,,,,,,,2008-05-01,2008-05-08,,
3599,Kuskokwim River at Red Devil,2008,,,2008-05-08,,,,,,,,2008-05-02,2008-05-09,,
3600,Kuskokwim River at Aniak,2008,,,2008-05-10,,,,,,,,2008-05-03,2008-05-10,,
3601,Kuskokwim River at Kalskag,2008,2008-05-11,,2008-05-11,,2008-05-14,2008-05-07,2008-05-04,snowmachine,2008-05-18,kind of a slush out this year,2008-05-03,2008-05-11,,
3602,Kuskokwim River at Tuluksak,2008,,,2008-05-12,,,,,,,,2008-05-05,2008-05-13,,
3603,Kuskokwim River at Akiak,2008,,,2008-05-13,,,,,,,,2008-05-06,2008-05-14,,
3604,Kuskokwim River at Bethel,2008,,,2008-05-13,,,,,,,,2008-05-09,2008-05-16,,
3605,Kuskokwim River at Napakiak,2008,,,2008-05-14,,,,,,,,2008-05-08,2008-05-16,,
3606,Kuskokwim River at Akiachak,2008,,,2008-05-15,,,,,,,,,,,
4395,Chena River at Fairbanks,2008,,,2008-04-29,,,,,,,,2008-04-21,2008-04-29,,
4396,Tanana River at Nenana,2008,,,2008-05-06,,,,,,,,2008-04-29,2008-05-05,,
4398,Tanana River at Fairbanks D-S of Chena R,2008,,,2008-05-07,,,,,,,,2008-04-25,2008-05-01,,
4400,Chatanika River at Steese Highway,2008,2008-04-23,,2008-04-23,,2008-05-30,,2008-04-21,Any,2008-05-07,,,,,
4401,Lake Minchumina at Lake Minchumina,2008,2008-05-14,,2008-05-14,,2008-05-25,2008-05-11,2008-05-08,Snowmachine,2008-05-27,Breakup was slow and steady and a little later tha,,,,
4402,Chisana River at Northway,2008,2008-04-26,,2008-04-26,,2008-05-01,2008-04-23,2008-04-21,Any,2008-05-01,We had 50+ tempurature for 4 days with no water. T,,,,
4403,Nabesna River nr Northway,2008,2008-05-02,,2008-05-05,,,2008-04-26,2008-04-25,Any,,,,,,
4404,Crooked Creek at Central,2008,2008-04-24,,2008-04-24,,,,,,2008-05-04,,,,,
4405,Tanana River nr Manley Hot Springs,2008,2008-05-08,,2008-05-09,,2008-05-17,2008-04-08,2008-04-08,Sno-go,2008-05-12,,2008-04-26,2008-05-09,,
6375,Yukon River at Dawson,2008,,,2008-05-04,,,,,,,,,,,
6376,Yukon River at Rampart,2008,,,2008-05-10,,,,,,,,2008-05-10,2008-05-16,,
6377,Yukon River at Stevens Village,2008,,,2008-05-10,,,,,,,,2008-05-09,2008-05-15,,
6378,Yukon River at Tanana,2008,,,2008-05-11,,,,,,,,2008-05-07,2008-05-13,,
6379,Yukon River at Kaltag,2008,,,2008-05-13,,,,,,,,2008-05-11,2008-05-17,,
6380,Yukon River at Anvik,2008,,,2008-05-17,,,,,,,,2008-05-14,2008-05-21,,
6381,Yukon River at Holy Cross,2008,,,2008-05-18,,,,,,,,2008-05-12,2008-05-18,,
6382,Yukon River at Russian Mission,2008,,,2008-05-18,,,,,,,,2008-05-12,2008-05-19,,
6383,Yukon River at Pilot Station,2008,,,2008-05-19,,,,,,,,2008-05-13,2008-05-21,,
6384,Koyukuk River at Allakaket,2008,2008-05-10,,2008-05-10,,2008-05-13,2008-05-06,2008-05-08,all,2008-05-16,,2008-05-08,2008-05-14,,
6385,Yukon River at Eagle,2008,,,2008-05-03,,,,,,,,2008-05-02,2008-05-08,,
6389,Yukon River at Ruby,2008,2008-05-11,,2008-05-11,,2008-05-17,2008-05-10,2008-05-08,snowmachine,2008-05-18,,2008-05-09,2008-05-15,,
6391,Yukon River at Nulato,2008,2008-05-12,,2008-05-12,,2008-05-19,2008-05-03,2008-05-03,snowmachine,2008-05-19,,2008-05-10,2008-05-16,,
6392,Yukon River at Mountain Village,2008,,,2008-05-19,,,,,,,,2008-05-14,2008-05-22,,
6393,Yukon River at Alakanuk,2008,,,2008-05-23,,,,,,,,2008-05-19,2008-05-26,,
6394,Yukon River nr Emmonak,2008,,,2008-05-23,,,,,,,,,,,
6395,Koyukuk River at Bettles,2008,,,2008-05-10,,,,,,,,2008-05-07,2008-05-14,,
6396,Koyukuk River at Hughes,2008,,,2008-05-10,,,,,,,,2008-05-08,2008-05-14,,
6397,Wiseman Creek at Wiseman,2008,2008-05-14,,2008-05-14,,2008-05-17,2008-05-07,2008-05-05,Any,,05-04 Clear water starting to run\, channel on N si,,,,
6398,Koyukuk River at Wiseman,2008,2008-05-05,3:00pm,2008-05-05,,2008-05-12,2008-05-02,2008-05-02,Snowmobile,2008-05-12,05-05 approx 3pm River began running water over ic,,,,
6399,Yukon River at Fort Yukon,2008,2008-05-02,,2008-05-07,,2008-05-10,2008-04-04,2008-04-04,Sno Go,2008-05-16,,2008-05-07,2008-05-13,,
6400,Yukon River at Galena,2008,2008-05-12,,2008-05-13,,2008-05-17,,2008-05-09,Snow machine,2008-05-20,,2008-05-09,2008-05-15,,
6401,Yukon River at Beaver,2008,2008-05-09,,2008-05-09,,2008-05-11,2008-05-03,2008-05-01,Snowmobile,2008-05-17,It's been a cold break due to cloudy conditions an,2008-05-08,2008-05-14,,
6402,Yukon River at Circle,2008,2008-05-07,,2008-05-08,,2008-05-16,2008-04-28,2008-04-26,Snow machine,2008-05-24,05-02 Overflow heavy in first slough down river fr,2008-05-06,2008-05-12,,
7111,Amber Lake at Oilwell Road,2008,,,2008-05-20,unknown,,,,,,2008-05-20,2022-03-24,2022-03-24,,
1017,Kobuk River at Kobuk,2007,2007-05-04,04:30pm,2007-05-04,,2007-05-15,2007-05-04,2007-05-02,snowmachine,2007-05-15,Very low water at time of breakup.,2007-05-13,2007-05-20,,
1018,Buckland River at Buckland,2007,,,2007-05-22,,,,,,,,2007-05-14,2007-05-24,,
1020,Kobuk River at Shungnak,2007,,,2007-05-17,,,,,,,,2007-05-15,2007-05-22,,
1021,Kobuk River at Ambler,2007,,,2007-05-19,,,,,,,,2007-05-15,2007-05-22,,
1022,Noatak River at Noatak,2007,,,2007-05-21,,,,,,,,2007-05-16,2007-05-24,,
1023,Colville River at Colville Village,2007,,,2007-06-06,,,,,,,,2007-05-26,2007-06-04,,
1024,Colville River at Umiat,2007,,,2007-05-30,,,,,,,,2007-05-20,2007-05-28,,
1415,Gulkana River nr Gakona,2007,,,2007-05-05,,,,,,,,2007-04-22,2007-05-02,,
2227,Montana Creek at Parks Highway,2007,2007-04-20,,2007-04-20,,2007-04-23,2007-04-19,2007-04-18,snowmachine,2007-04-30,,,,,
2228,Skwentna River at Skwentna,2007,2007-04-26,,2007-04-30,,2007-04-30,2007-04-23,2007-04-16,snowmachine,2007-05-02,,2007-04-24,2007-04-30,,
2229,Lake Hood-Spenard at Anchorage,2007,,,2007-05-07,,,,,,,,,,,
2230,Susitna River at Sunshine,2007,,,2007-05-03,,,,,,,,2007-04-27,2007-05-02,,
2231,Yentna River at Lake Creek,2007,,,2007-04-30,,,,,,,,2007-04-24,2007-04-30,,
2232,Gakona River at Gakona,2007,,,2007-04-30,,,,,,,,,,,
3579,Kuskokwim River at Nikolai,2007,,,2007-04-21,,,,,,,,2007-04-18,2007-04-25,,
3580,Kuskokwim River at McGrath,2007,,,2007-04-30,,,,,,,,2007-05-02,2007-05-09,,
3581,Kuskokwim River at Stony River,2007,,,2007-04-29,,,,,,,,2007-05-01,2007-05-08,,
3582,Kuskokwim River at Sleetmute,2007,,,2007-04-30,,,,,,,,2007-04-29,2007-05-07,,
3583,Kuskokwim River at Red Devil,2007,,,2007-04-30,,,,,,,,2007-05-01,2007-05-08,,
3584,Kuskokwim River at Crooked Creek,2007,,,2007-04-29,,,,,,,,2007-05-01,2007-05-08,,
3585,Kuskokwim River at Aniak,2007,,,2007-04-29,,,,,,,,2007-05-02,2007-05-09,,
3586,Kuskokwim River at Kalskag,2007,,,2007-04-30,,,,,,,,2007-05-02,2007-05-09,,
3587,Kuskokwim River at Bethel,2007,,,2007-05-03,,,,,,,,2007-05-07,2007-05-14,,
3588,Kuskokwim River at Napakiak,2007,,,2007-05-03,,,,,,,,2007-05-07,2007-05-14,,
3589,Kuskokwim River at Akiak,2007,,,2007-04-29,,,,,,,,2007-05-05,2007-05-13,,
3590,Kuskokwim River at Tuluksak,2007,,,2007-05-01,,,,,,,,2007-05-04,2007-05-11,,
3591,Kuskokwim River at Napaimute,2007,,,2007-04-29,,,,,,,,,,,
3592,Kuskokwim River at Akiachak,2007,,,2007-05-04,,,,,,,,,,,
3593,Nushagak River at Ekwok,2007,2007-04-23,,2007-04-25,,2007-04-27,2007-04-18,2007-04-07,snowmachine,2007-04-27,,,,,
4384,Chatanika River at Elliott Hwy Bridge,2007,2007-04-17,,2007-04-17,,2007-04-18,2007-04-11,2007-04-07,snowmachine,2007-04-30,,,,,
4386,Tanana River nr Manley Hot Springs,2007,,,2007-04-26,,,,,,,,2007-04-24,2007-05-06,,
4388,Tanana River at Nenana,2007,,,2007-04-27,,,,,,,,2007-04-26,2007-05-02,,
4389,Chena River at Fairbanks,2007,,,2007-04-24,,,,,,,,2007-04-18,2007-04-26,,
4390,Chisana River at Northway,2007,,,2007-04-26,,,,,,,,,,,
4391,Tanana River at Fairbanks D-S of Chena R,2007,,,2007-04-24,,,,,,,,2007-04-23,2007-04-29,,
6330,Yukon River at Nulato,2007,2007-05-04,,2007-05-04,,2007-05-14,2007-04-22,2007-04-22,snowmachine,2007-05-15,,2007-05-08,2007-05-14,,
6331,Koyukuk River at Bettles,2007,,,2007-05-05,,,,,,,,2007-05-04,2007-05-12,,
6332,Koyukuk River at Allakaket,2007,,,2007-05-02,,,,,,,,2007-05-05,2007-05-12,,
6333,Koyukuk River at Hughes,2007,,,2007-05-02,,,,,,,,2007-05-06,2007-05-13,,
6334,Yukon River at Eagle,2007,,,2007-04-30,,,,,,,,2007-04-29,2007-05-05,,
6335,Yukon River at Circle,2007,,,2007-05-05,,,,,,,,2007-05-04,2007-05-09,,
6336,Yukon River at Fort Yukon,2007,,,2007-05-07,,,,,,,,2007-05-05,2007-05-10,,
6337,Yukon River at Beaver,2007,,,2007-05-07,,,,,,,,2007-05-07,2007-05-12,,
6338,Yukon River at Stevens Village,2007,,,2007-05-08,,,,,,,,2007-05-09,2007-05-14,,
6339,Yukon River at Rampart,2007,,,2007-05-09,,,,,,,,2007-05-09,2007-05-14,,
6340,Yukon River at Dawson,2007,,,2007-05-04,,,,,,,,,,,
6341,Yukon River at Tanana,2007,,,2007-04-30,,,,,,,,2007-05-05,2007-05-11,,
6342,Yukon River at Ruby,2007,,,2007-05-05,,,,,,,,2007-05-06,2007-05-12,,
6343,Yukon River at Galena,2007,,,2007-05-10,,,,,,,,2007-05-06,2007-05-12,,
6345,Yukon River at Kaltag,2007,,,2007-05-08,,,,,,,,2007-05-08,2007-05-14,,
6346,Yukon River at Anvik,2007,,,2007-05-11,,,,,,,,2007-05-11,2007-05-18,,
6347,Yukon River at Holy Cross,2007,,,2007-05-10,,,,,,,,2007-05-10,2007-05-16,,
6348,Yukon River at Russian Mission,2007,,,2007-05-10,,,,,,,,2007-05-09,2007-05-16,,
6349,Yukon River at Pilot Station,2007,,,2007-05-11,,,,,,,,2007-05-11,2007-05-19,,
6350,Yukon River at Mountain Village,2007,,,2007-05-13,,,,,,,,2007-05-12,2007-05-20,,
6351,Yukon River nr Emmonak,2007,,,2007-05-18,,,,,,,,,,,
6352,Yukon River at Alakanuk,2007,,,2007-05-18,,,,,,,,2007-05-16,2007-05-23,,
7101,Moose Creek at Oilwell Road,2007,,,2007-04-23,unknown,,,,,2007-04-23,,2022-03-24,2022-03-24,,
7110,Amber Lake at Oilwell Road,2007,,,2007-05-15,unknown,,,,,2007-05-15,,2022-03-24,2022-03-24,,
7117,Kroto Creek at Oilwell Road,2007,,,2007-05-12,unknown,,,,,2007-05-12,,2022-03-24,2022-03-24,,
1008,Buckland River at Buckland,2006,,,2006-05-23,,,,,,,,2006-05-13,2006-05-23,,
1010,Kobuk River at Shungnak,2006,,,2006-05-21,,,,,,,,2006-05-15,2006-05-22,,
1011,Kobuk River at Ambler,2006,,,2006-05-22,,,,,,,,2006-05-15,2006-05-22,,
1012,Noatak River at Noatak,2006,,,2006-05-22,,,,,,,,2006-05-15,2006-05-23,,
1014,Kobuk River at Kobuk,2006,2006-05-17,04:20pm,2006-05-17,,2006-05-20,2006-05-06,2006-05-09,snowmachine,2006-05-20,,2006-05-14,2006-05-21,,
1015,Snake River at Nome,2006,2006-05-19,,2006-05-19,,2006-05-26,2006-05-10,2006-05-07,snowmachine,2006-05-26,maximum winter ice thickness 3-4',,,,
1016,Colville River at Colville Village,2006,2006-06-03,,2006-06-04,,2006-06-06,,,,2006-06-08,maximum winter ice thickness 55",2006-05-27,2006-06-04,,
1406,Gulkana River nr Gakona,2006,,,2006-05-08,,,,,,,,2006-04-23,2006-05-01,,
1407,Gakona River at Gakona,2006,,,2006-05-07,,,,,,,,2006-04-24,2006-05-02,,
1408,Chistochina River at Chistochina,2006,2006-04-21,,2006-05-12,,2006-05-18,2006-05-12,2006-05-04,any,2006-05-18,,,,,
1409,Tonsina River at Tonsina,2006,2006-04-29,,2006-04-29,,2006-05-22,2006-04-25,2006-04-17,snowmachine,2006-05-22,,,,,
1410,Kennicott River at McCarthy,2006,2006-05-05,,2006-05-07,,2006-05-19,2006-05-05,2006-04-20,pickup truck,2006-05-22,maximum winter ice thickness 36",,,,
1411,Maclaren River at Denali Hwy,2006,2006-05-16,,2006-05-21,,2006-05-23,2006-05-10,2006-05-10,snowmachine,2006-05-21,maximum winter ice thickness 3-4',,,,
1412,Little Nelchina River at Nelchina,2006,2006-05-01,,2006-05-01,,,2006-04-29,2006-04-15,snowmachine,2006-05-18,,,,,
2203,Lake Hood-Spenard at Anchorage,2006,,,2006-05-02,,,,,,,,,,,
2215,Skwentna River at Skwentna,2006,2006-05-06,,2006-05-07,,2006-05-07,2006-04-28,2006-04-26,snowmachine,2006-05-12,,,,,
